04/01/2019 15:45:56 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49716,localport=8080]
04/01/2019 15:47:22 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49718,localport=8080]

04/01/2019 15:47:50 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49718,localport=8080]
04/01/2019 15:56:23 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49720,localport=8080]

04/01/2019 15:57:07 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49720,localport=8080]
04/01/2019 16:00:56 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49846,localport=8080]

04/01/2019 16:01:02 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49846,localport=8080]
04/01/2019 16:01:27 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49848,localport=8080]

04/01/2019 16:01:34 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49848,localport=8080]
04/01/2019 16:07:08 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49854,localport=8080]

04/01/2019 16:09:51 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49854,localport=8080]
04/01/2019 16:10:27 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49859,localport=8080]

04/01/2019 16:35:57 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49883,localport=8080]

04/01/2019 16:36:17 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49884,localport=8080]

04/01/2019 16:36:42 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49885,localport=8080]

04/01/2019 16:38:47 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49885,localport=8080]
04/01/2019 16:38:48 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49888,localport=8080]

04/01/2019 16:40:38 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49888,localport=8080]
04/01/2019 16:42:37 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49917,localport=8080]

04/01/2019 16:42:41 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49917,localport=8080]
04/01/2019 16:43:29 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49918,localport=8080]

04/01/2019 16:45:52 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49918,localport=8080]
